hour,line_id,machine_id,avg_temperature,min_temperature,max_temperature,avg_pressure,avg_vibration,total_checks,defect_count,defect_rate
2025-03-04 10:00:00,Line_1,machine_5,79.2,79.2,79.2,2.97,70.35,0,0,0.0
2025-03-04 10:00:00,Line_1,machine_6,72.38,72.38,72.38,1.66,72.65,0,0,0.0
2025-03-04 10:00:00,Line_1,machine_7,58.58,49.44,67.72,1.3050000000000002,53.355,0,0,0.0
2025-03-04 10:00:00,Line_1,machine_9,65.61,65.61,65.61,4.07,59.31,0,0,0.0
2025-03-04 10:00:00,Line_2,machine_11,86.42,86.42,86.42,4.79,47.15,0,0,0.0
2025-03-04 10:00:00,Line_2,machine_13,82.82,82.82,82.82,1.91,36.54,0,0,0.0
2025-03-04 10:00:00,Line_2,machine_15,77.02,77.02,77.02,1.05,35.74,0,0,0.0
2025-03-04 10:00:00,Line_2,machine_19,78.69,78.69,78.69,1.71,40.31,0,0,0.0
2025-03-04 10:00:00,Line_3,machine_26,90.33,90.33,90.33,3.26,60.88,0,0,0.0
2025-03-04 10:00:00,Line_3,machine_27,72.37,72.37,72.37,4.66,54.45,0,0,0.0
2025-03-04 10:00:00,Line_3,machine_29,64.04,64.04,64.04,1.99,62.85,0,0,0.0
2025-03-04 10:00:00,Line_4,machine_31,69.1,69.1,69.1,2.92,64.95,0,0,0.0
2025-03-04 10:00:00,Line_4,machine_33,82.7,80.45,84.95,2.695,39.760000000000005,0,0,0.0
2025-03-04 10:00:00,Line_4,machine_34,73.35,73.35,73.35,1.88,80.3,0,0,0.0
2025-03-04 10:00:00,Line_4,machine_37,79.125,75.96,82.29,2.485,47.315,0,0,0.0
2025-03-04 10:00:00,Line_5,machine_41,75.72,75.72,75.72,1.19,49.92,0,0,0.0
2025-03-04 10:00:00,Line_5,machine_42,70.73,70.73,70.73,1.07,61.94,0,0,0.0
2025-03-04 10:00:00,Line_5,machine_46,75.12,75.12,75.12,1.03,54.15,0,0,0.0
2025-03-04 11:00:00,Line_1,machine_1,69.085,62.79,75.38,3.0900000000000003,41.825,0,0,0.0
2025-03-04 11:00:00,Line_1,machine_10,78.51,69.98,87.04,1.875,47.364999999999995,0,0,0.0
2025-03-04 11:00:00,Line_1,machine_2,78.7025,74.27,85.52,2.4575,46.7325,0,0,0.0
2025-03-04 11:00:00,Line_1,machine_3,80.485,80.47,80.5,3.295,44.655,0,0,0.0
2025-03-04 11:00:00,Line_1,machine_4,73.84,71.41,76.27,4.28,33.685,0,0,0.0
2025-03-04 11:00:00,Line_1,machine_5,69.63333333333334,61.96,75.62,3.5500000000000003,51.43,0,0,0.0
2025-03-04 11:00:00,Line_1,machine_6,73.91,73.91,73.91,3.1,54.26,0,0,0.0
2025-03-04 11:00:00,Line_1,machine_7,64.96,64.96,64.96,3.53,51.81,0,0,0.0
2025-03-04 11:00:00,Line_2,machine_11,70.8,70.8,70.8,4.41,56.28,0,0,0.0
2025-03-04 11:00:00,Line_2,machine_12,75.555,75.2,75.91,3.715,66.23500000000001,0,0,0.0
2025-03-04 11:00:00,Line_2,machine_13,67.92,67.92,67.92,3.08,51.55,0,0,0.0
2025-03-04 11:00:00,Line_2,machine_15,90.25,90.25,90.25,3.21,52.76,0,0,0.0
2025-03-04 11:00:00,Line_2,machine_17,71.56,71.56,71.56,3.04,89.53,0,0,0.0
2025-03-04 11:00:00,Line_2,machine_18,66.75,61.5,72.0,2.9400000000000004,59.754999999999995,0,0,0.0
2025-03-04 11:00:00,Line_2,machine_19,68.7,57.7,86.05,2.9466666666666668,53.77333333333333,0,0,0.0
2025-03-04 11:00:00,Line_3,machine_23,56.045,55.59,56.5,2.135,60.555,0,0,0.0
2025-03-04 11:00:00,Line_3,machine_24,65.14,64.66,65.7,2.9299999999999997,43.52333333333333,0,0,0.0
2025-03-04 11:00:00,Line_3,machine_26,80.95,80.95,80.95,4.23,22.13,0,0,0.0
2025-03-04 11:00:00,Line_3,machine_28,78.2975,62.07,87.99,3.29,55.254999999999995,0,0,0.0
2025-03-04 11:00:00,Line_3,machine_30,73.44666666666667,59.68,93.18,3.52,45.73666666666667,0,0,0.0
2025-03-04 11:00:00,Line_4,machine_31,72.735,72.5,72.97,2.955,43.769999999999996,0,0,0.0
2025-03-04 11:00:00,Line_4,machine_32,79.7,79.7,79.7,3.55,46.66,0,0,0.0
2025-03-04 11:00:00,Line_4,machine_33,82.93,82.53,83.33,2.965,25.604999999999997,0,0,0.0
2025-03-04 11:00:00,Line_4,machine_37,74.41,63.41,85.41,1.67,25.925,0,0,0.0
2025-03-04 11:00:00,Line_4,machine_38,65.69,65.69,65.69,1.19,18.96,0,0,0.0
2025-03-04 11:00:00,Line_4,machine_39,60.52,60.52,60.52,1.72,18.97,0,0,0.0
2025-03-04 11:00:00,Line_5,machine_41,70.41,70.35,70.47,4.12,47.165,0,0,0.0
2025-03-04 11:00:00,Line_5,machine_42,84.0,84.0,84.0,4.95,71.82,0,0,0.0
2025-03-04 11:00:00,Line_5,machine_43,79.69,78.38,81.0,4.345,61.05,0,0,0.0
2025-03-04 11:00:00,Line_5,machine_45,93.7,93.7,93.7,2.51,54.03,0,0,0.0
